ITEM  NUMBER     BIN                  HEX       
173   -15        11111111111111111111111111110001 0XFFFFFFF1
174   -19        11111111111111111111111111101101 0XFFFFFFED
175   -42        11111111111111111111111111010110 0XFFFFFFD6
176   -37        11111111111111111111111111011011 0XFFFFFFDB
177   31         11111                1F        
178   -10        11111111111111111111111111110110 0XFFFFFFF6
179   18         10010                12        
180   33         100001               21        
181   -15        11111111111111111111111111110001 0XFFFFFFF1
182   17         10001                11        
183   25         11001                19        
184   -25        11111111111111111111111111100111 0XFFFFFFE7
185   -5         11111111111111111111111111111011 0XFFFFFFFB
186   33         100001               21        
187   -13        11111111111111111111111111110011 0XFFFFFFF3
188   33         100001               21        
189   -10        11111111111111111111111111110110 0XFFFFFFF6
190   47         101111               2F        
191   47         101111               2F        
192   -13        11111111111111111111111111110011 0XFFFFFFF3
193   -32        11111111111111111111111111100000 0XFFFFFFE0
194   1          1                    1         
195   1          1                    1         
196   -25        11111111111111111111111111100111 0XFFFFFFE7
197   -33        11111111111111111111111111011111 0XFFFFFFDF
198   16         10000                10        
199   17         10001                11        
200   4          100                  4         

Runtime: 0.00129 seconds
